PR URL,PR Title,PR createdAt,PR mergedAt,stars,fork,language
https://github.com/OpenTermsArchive/genai-eu-declarations/pull/68,Add Claude.ai LEG,2026-03-17T15:11:58Z,2026-03-17T17:46:11Z,0,False,JavaScript
https://github.com/miksrv/astronomy-portal/pull/250,Integrated with Claude.ai,2026-03-19T21:34:56Z,2026-03-19T22:43:09Z,4,False,TypeScript
https://github.com/cognizant-ai-lab/neuro-san-studio/pull/760,Exclude claude.ai from lychee link check,2026-03-27T17:34:58Z,2026-03-27T17:41:18Z,419,False,Python
https://github.com/digitalIceCream/archinstall/pull/1,Initial install script from claude.ai,2026-03-22T16:08:22Z,2026-03-22T16:08:35Z,0,False,Shell
https://github.com/ShanBirch/plant-based-balance/pull/1106,"fix(

https://claude.ai/code/session_01XUX1L4pHZmWFqfPaqcbVwK",2026-03-24T12:30:39Z,2026-03-24T20:11:29Z,0,False,JavaScript
https://github.com/asivura/claude-almanac/pull/17,fix: clarify remote control requires claude.ai auth only,2026-03-29T21:51:08Z,2026-03-29T21:51:38Z,0,False,
https://github.com/cognizant-ai-lab/neuro-san-studio/pull/761,"Revert ""Exclude claude.ai from lychee link check""",2026-03-27T18:49:58Z,2026-03-27T19:20:22Z,419,False,Python
https://github.com/ettorecar/sentinelAI/pull/10,"
https://claude.ai/code/session_01Csnsc3SNKeY1dPfhbsp1KE",2026-03-18T11:00:52Z,2026-03-18T14:57:38Z,0,False,JavaScript
https://github.com/ettorecar/sentinelAI/pull/9,"
https://claude.ai/code/session_01Csnsc3SNKeY1dPfhbsp1KE",2026-03-18T09:36:15Z,2026-03-18T09:36:24Z,0,False,JavaScript
https://github.com/ettorecar/sentinelAI/pull/8,"
https://claude.ai/code/session_01Csnsc3SNKeY1dPfhbsp1KE",2026-03-17T22:08:24Z,2026-03-17T22:08:34Z,0,False,JavaScript
https://github.com/himself65/finance-skills/pull/2,Simplify Claude.ai setup instructions,2026-03-14T00:29:43Z,2026-03-14T00:30:17Z,632,False,
https://github.com/ettorecar/sentinelAI/pull/7,"

https://claude.ai/code/session_01Csnsc3SNKeY1dPfhbsp1KE",2026-03-17T20:35:45Z,2026-03-17T20:35:55Z,0,False,JavaScript
https://github.com/abeba272-stack/chromeExtensions/pull/3,Merge pull request #2 from abeba272-stack/Claude.ai,2026-03-28T18:19:00Z,2026-03-28T18:19:11Z,0,False,JavaScript
https://github.com/aluri-web/AluriWebPage/pull/2,feat: remote MCP server for Claude.ai connector,2026-03-24T13:23:48Z,2026-03-24T13:35:15Z,0,False,TypeScript
https://github.com/AmmarJawad/claude-memory/pull/4,feat: add bidirectional sync via claude.ai Projects,2026-03-23T08:02:24Z,2026-03-25T16:48:46Z,1,False,Python
https://github.com/harshitalpha/ai_takeout/pull/1,Fix Claude.ai extractor to capture assistant messages,2026-03-22T18:27:29Z,2026-03-22T18:30:29Z,0,False,JavaScript
https://github.com/ngrova/university-peak-performance/pull/167,feat(fleet): add CORS for claude.ai MCP connection,2026-03-25T21:35:52Z,2026-03-25T21:36:43Z,0,False,TypeScript
https://github.com/ngrova/university-peak-performance/pull/162,feat(fleet): make Bearer auth optional for claude.ai,2026-03-25T20:38:40Z,2026-03-25T20:40:10Z,0,False,TypeScript
https://github.com/keboola/headless-knowledge-base/pull/48,Fix MCP OAuth discovery and scope assignment for Claude.ai,2026-03-29T12:03:02Z,2026-03-29T13:53:33Z,1,False,Python
https://github.com/IamWheelze/Tehilah-World-worship/pull/9,"Restore hero canvas animation

https://claude.ai/code/session_016bExagUeEcGgrxay6hRkxC",2026-03-26T23:21:23Z,2026-03-26T23:21:30Z,0,False,HTML
https://github.com/Skyler2437/AmboPortal/pull/85,Fix OAuth redirect for Claude.ai MCP connection,2026-03-19T12:42:35Z,2026-03-19T12:42:43Z,0,False,TypeScript
https://github.com/Skyler2437/AmboPortal/pull/83,Fix OAuth paths for Claude.ai MCP compatibility,2026-03-19T03:55:30Z,2026-03-19T03:55:40Z,0,False,TypeScript
https://github.com/Skyler2437/AmboPortal/pull/81,Add remote MCP server for Claude.ai integration,2026-03-19T03:38:40Z,2026-03-19T03:41:09Z,0,False,TypeScript
https://github.com/PierreBultez/Code_Blog/pull/1,"Add README.md

https://claude.ai/code/session_015ehBv8TFtLCqGqRqWWdxYj",2026-03-24T14:09:39Z,2026-03-24T14:11:22Z,0,False,JavaScript
https://github.com/cfg-is/cfgms/pull/496,tooling: add claude.ai to container DNS allowlist,2026-03-21T02:06:50Z,2026-03-21T03:19:15Z,0,False,Go
https://github.com/jeremysherriff/auckland_rubbish_collection/pull/7,Code cleanup via Claude.ai,2026-03-10T20:38:05Z,2026-03-10T21:49:55Z,2,False,Python
